predictor,outcome,effect_size,metric_type,method,sample_size,population,timing,source_quote,paper_id,page
lactate,30-day mortality,0.512,Sensitivity,diagnostic test evaluation,,adult sepsis patients,,"Diagnostic sensitivity, specificity, predictive values and positive/negative likelihood ratios of lactate, qSOFA, SOFA for mortality Sensitivity Lactate 0.512",Liu_2019,8
lactate,mortality,0.664,AUC,Receiver operating characteristic curve (ROC) analysis,1865,sepsis patients,first 24 h of ICU admission,Lactate is an independent prognostic predictor of mortality for patients with sepsis. It has superior discriminative power to qSOFA.,Liu_2019,1
Lactate,30-day mortality,0.512,Sensitivity,,,,30-day,Lactate 0.512 30-day mortality,Liu_2019,8
lactate,overall survival (OS),independent prognostic factor,,univariate analysis and multivariate analysis,,patients with sepsis,,"According to the results, lactate remained an independent prognostic factor for sepsis.",Liu_2019,3
qSOFA,risk of death,"0.547 (0.521,0.574)",AUC,systematic review and meta-analysis,,,,a systematic review and meta-analysis demonstrated that qSOFA was poorly sensitive and moderately specific for the risk of death,Liu_2019,7
lactate,30-day mortality,0.664,AUC,AUROC,,patients with sepsis,30-day,"Discrimination of 30-day mortality (Fig. 4; Table 3), which was assessed by the AUROC, was significantly higher for lactate (AUROC, 0.664) than for qSOFA (AUROC, 0.547). The discriminative power of lactate was similar to that of SOFA (AUROC, 0.686).",Liu_2019,3
Lactate,mortality for patients with sepsis,superior discriminative power to qSOFA,,,,patients with sepsis,,"Conclusion: Lactate is an independent prognostic predictor of mortality for patients with sepsis. It has superior discriminative power to qSOFA, and shows discriminative ability similar to that of SOFA.",Liu_2019,1
serum lactate,mortality,superior prognostic accuracy,AUROC,Cox regression model analysis,,patients with infection admitted in the emergency department,short-term and long-term,"Lactate showed superior prognostic accuracy for short-term and long-term mortality compared to qSOFA, and the predictive validity of lactate was similar to that of SOFA.",Liu_2019,8
lactate,mortality,better prognostic factor,,Receiver operating characteristic curves,,adult patients with sepsis,,"In addition to its simplicity and accuracy, lactate is a better prognostic factor than qSOFA and SOFA in adult patients with sepsis.",Liu_2019,9
lactate levels,mortality of sepsis,0.704 (0.668–0.739),AUC,binary logistic regression,,,,The receiver operating curves (ROC) were constructed using the binary logistic regression probabilities of death using sepsis definitions and lactate categories.,Besen_2016,7
